epoch,accuracy,loss,val_accuracy,val_loss
0,0.7310000061988831,0.7926369309425354,0.8612499833106995,0.3301575183868408
1,0.8510000109672546,0.37339287996292114,0.893750011920929,0.2745424509048462
2,0.871999979019165,0.3147090971469879,0.7587500214576721,0.7461826801300049
3,0.9049999713897705,0.271581768989563,0.8550000190734863,0.3574172854423523
4,0.9079999923706055,0.20671877264976501,0.9012500047683716,0.31131651997566223
5,0.9279999732971191,0.1885896772146225,0.9037500023841858,0.2847755253314972
6,0.9309999942779541,0.19720886647701263,0.8949999809265137,0.3204759657382965
7,0.949999988079071,0.1396855264902115,0.8899999856948853,0.38511398434638977
8,0.953000009059906,0.15302172303199768,0.8924999833106995,0.3685431182384491
9,0.9610000252723694,0.12445365637540817,0.8487499952316284,0.6133723855018616
